"FACT_LOAN_ID","LOAN_AMOUNT","INT_RATE","INSTALLMENT","TOTAL_PAYMENT","DTI","APPLICATION_TYPE","DIM_LOAN_ID","BORROWER_ID","STATE_CODE","ISSUE_DATE_ID","LAST_PAYMENT_DATE_ID","NEXT_PAYMENT_DATE_ID","LAST_CREDIT_PULL_DATE_ID"
455641,10000,0.0788,312.81,11277,0.0909,"INDIVIDUAL","359","565159","CT",10-FEB-2021,13-MAR-2021,13-APR-2021,15-OCT-2021
1031003,4000,0.0603,121.75,4383,0.0271,"INDIVIDUAL","7","1260425","TX",11-NOV-2021,14-DEC-2021,14-JAN-2022,14-NOV-2021
396521,8000,0.08,250.69,8551,0.0432,"INDIVIDUAL","105","436823","MA",09-MAY-2021,10-JUN-2021,10-JUL-2021,15-OCT-2021
808963,5000,0.0542,150.8,5429,0.2096,"INDIVIDUAL","7","1015737","IL",11-JUL-2021,14-JUL-2021,14-AUG-2021,14-JUL-2021
1044077,3000,0.0662,92.12,3316,0.1632,"INDIVIDUAL","96","1274416","FL",11-NOV-2021,14-DEC-2021,14-JAN-2022,16-MAY-2021
697609,4000,0.0729,124.04,4465,0.1041,"INDIVIDUAL","247","888953","TX",11-MAR-2021,14-MAR-2021,14-APR-2021,14-NOV-2021
757255,8000,0.0849,252.51,9090,0.1647,"INDIVIDUAL","359","957278","FL",11-JUN-2021,14-JUN-2021,14-JUL-2021,14-JUN-2021
713504,2100,0.0766,65.48,2357,0.1887,"INDIVIDUAL","359","906743","VA",11-APR-2021,14-APR-2021,14-MAY-2021,16-MAY-2021
472636,8000,0.0705,247.2,8900,0.0173,"INDIVIDUAL","7","596860","VA",10-JAN-2021,13-JAN-2021,13-FEB-2021,13-FEB-2021
764852,6000,0.0542,180.96,6515,0.0476,"INDIVIDUAL","7","965621","OH",11-MAY-2021,14-JUN-2021,14-JUL-2021,14-JUN-2021
552448,4400,0.0676,135.38,4858,0.101,"INDIVIDUAL","96","711857","MO",10-JUL-2021,13-FEB-2021,13-MAR-2021,15-SEP-2021
668787,4975,0.0579,150.88,5432,0.104,"INDIVIDUAL","96","855127","NY",11-FEB-2021,14-FEB-2021,14-MAR-2021,14-FEB-2021
508736,2100,0.0676,64.62,2306,0.0281,"INDIVIDUAL","96","656465","PA",10-APR-2021,12-AUG-2021,12-SEP-2021,12-AUG-2021
719399,4800,0.0579,145.57,4930,0.1387,"INDIVIDUAL","96","913732","MO",11-APR-2021,11-OCT-2021,11-NOV-2021,15-OCT-2021
707303,4000,0.0579,121.31,4299,0.0885,"INDIVIDUAL","96","899636","WV",11-MAR-2021,13-JAN-2021,13-FEB-2021,16-MAR-2021
788944,3000,0.0599,91.26,3285,0.2255,"INDIVIDUAL","96","992748","IL",11-JUN-2021,14-JUL-2021,14-AUG-2021,14-JUL-2021
597469,1925,0.0676,59.23,2013,0.1527,"INDIVIDUAL","96","766903","IL",10-OCT-2021,11-AUG-2021,11-SEP-2021,11-AUG-2021
987462,8000,0.0751,248.89,8936,0.0858,"INDIVIDUAL","105","1211442","KY",11-OCT-2021,14-OCT-2021,14-NOV-2021,15-JAN-2021
661158,5000,0.0542,150.8,5429,0.0514,"INDIVIDUAL","7","845559","AZ",11-JAN-2021,14-FEB-2021,14-MAR-2021,16-MAY-2021
1010097,1500,0.0603,45.66,1529,0.1446,"INDIVIDUAL","7","1236893","MI",11-NOV-2021,12-MAR-2021,12-APR-2021,16-JAN-2021
484323,4800,0.0639,146.88,5288,0.1452,"INDIVIDUAL","7","616593","NJ",10-JUN-2021,13-JUL-2021,13-AUG-2021,16-FEB-2021
489841,11000,0.0788,344.09,11796,0.2297,"INDIVIDUAL","359","625184","NJ",10-MAR-2021,11-MAY-2021,11-JUN-2021,11-MAY-2021
1022407,6000,0.0662,184.23,6514,0.1034,"INDIVIDUAL","96","1251195","LA",11-NOV-2021,13-AUG-2021,13-SEP-2021,15-APR-2021
1027067,7750,0.0662,237.96,8566,0.2038,"INDIVIDUAL","96","1256261","MI",11-NOV-2021,14-DEC-2021,14-JAN-2022,16-MAY-2021
466091,4500,0.074,139.77,5032,0.1276,"INDIVIDUAL","96","585294","NY",09-DEC-2021,12-DEC-2021,12-JAN-2022,14-FEB-2021
737488,6000,0.0692,185.05,6655,0.089,"INDIVIDUAL","105","934676","TX",11-APR-2021,14-FEB-2021,14-MAR-2021,14-FEB-2021
839671,9600,0.0599,292.01,10512,0.016,"INDIVIDUAL","96","1049845","MD",11-AUG-2021,14-AUG-2021,14-SEP-2021,16-MAY-2021
644846,8000,0.0579,242.62,8734,0.0728,"INDIVIDUAL","96","825145","NY",11-JAN-2021,14-JAN-2021,14-FEB-2021,15-OCT-2021
511422,1500,0.0714,46.41,1671,0.048,"INDIVIDUAL","105","660596","WI",10-MAY-2021,13-MAY-2021,13-JUN-2021,16-MAR-2021
840046,2000,0.0542,60.32,2171,0.0188,"INDIVIDUAL","7","1050351","CO",11-AUG-2021,14-JUL-2021,14-AUG-2021,16-MAY-2021
470186,16000,0.074,496.95,17890,0.2152,"INDIVIDUAL","96","593497","WA",10-JAN-2021,13-JAN-2021,13-FEB-2021,13-FEB-2021
810774,5000,0.0699,154.37,5557,0.1452,"INDIVIDUAL","105","1017727","LA",11-JUL-2021,14-JUL-2021,14-AUG-2021,15-SEP-2021
591656,6000,0.0751,186.67,6641,0.1072,"INDIVIDUAL","247","759924","NM",10-OCT-2021,13-JAN-2021,13-FEB-2021,13-FEB-2021
489630,3900,0.0751,121.33,4168,0.1048,"INDIVIDUAL","247","624789","IL",10-MAR-2021,11-AUG-2021,11-SEP-2021,11-SEP-2021
504878,11000,0.0751,342.21,12106,0.0803,"INDIVIDUAL","247","650279","MD",10-APR-2021,12-JUN-2021,12-JUL-2021,12-JUN-2021
638309,6000,0.0542,180.96,6515,0.0807,"INDIVIDUAL","7","817666","NY",10-DEC-2021,14-JAN-2021,14-FEB-2021,14-JAN-2021
636676,6000,0.0579,181.97,6551,0.0137,"INDIVIDUAL","96","815592","NY",10-DEC-2021,14-JAN-2021,14-FEB-2021,14-JAN-2021
818975,4000,0.0599,121.67,4254,0.1529,"INDIVIDUAL","96","1027019","MO",11-JUL-2021,13-NOV-2021,13-DEC-2021,13-NOV-2021
608997,12975,0.0691,252.86,8921,0.1018,"INDIVIDUAL","359","773056","UT",10-NOV-2021,12-OCT-2021,12-NOV-2021,12-OCT-2021
775213,3000,0.0542,90.48,3257,0.0145,"INDIVIDUAL","7","977451","GA",11-JUN-2021,14-JUN-2021,14-JUL-2021,14-JUN-2021
446193,4000,0.074,124.24,4472,0.1724,"INDIVIDUAL","96","423921","PA",09-OCT-2021,12-OCT-2021,12-NOV-2021,16-APR-2021
828138,3000,0.0599,91.26,3071,0.1462,"INDIVIDUAL","96","1037146","GA",11-JUL-2021,12-JAN-2021,12-FEB-2021,12-JAN-2021
444464,5950,0.0774,185.76,5989,0.1139,"INDIVIDUAL","105","541920","MD",09-SEP-2021,09-NOV-2021,09-DEC-2021,11-SEP-2021
481657,9600,0.0751,298.65,10669,0.0989,"INDIVIDUAL","247","612600","NY",10-FEB-2021,12-MAY-2021,12-JUN-2021,16-APR-2021
997561,5000,0.0751,155.56,5061,0.1019,"INDIVIDUAL","105","1222660","KY",11-OCT-2021,12-MAY-2021,12-JUN-2021,15-DEC-2021
891766,5100,0.079,159.59,5734,0.092,"INDIVIDUAL","247","1108628","OK",11-SEP-2021,14-JUN-2021,14-JUL-2021,15-DEC-2021
749248,7000,0.0699,216.11,7670,0.0559,"INDIVIDUAL","105","948466","TX",11-MAY-2021,13-APR-2021,13-MAY-2021,16-MAY-2021
353365,3000,0.0832,78.72,2834,0.0658,"INDIVIDUAL","247","356975","PA",08-AUG-2021,11-AUG-2021,11-SEP-2021,11-AUG-2021
1032953,3500,0.089,111.14,3526,0.1976,"INDIVIDUAL","359","1262713","NY",11-NOV-2021,12-JAN-2021,12-FEB-2021,15-OCT-2021
442982,7000,0.0774,218.54,7724,0.0317,"INDIVIDUAL","105","538542","OH",09-SEP-2021,11-AUG-2021,11-SEP-2021,11-JUL-2021
888206,5200,0.0662,159.66,5229,0.0908,"INDIVIDUAL","96","1104499","AR",11-SEP-2021,11-NOV-2021,11-DEC-2021,11-NOV-2021
793476,4200,0.0599,127.76,4430,0.1465,"INDIVIDUAL","96","997991","KS",11-JUN-2021,12-AUG-2021,12-SEP-2021,12-AUG-2021
777143,1200,0.0699,37.05,1305,0.131,"INDIVIDUAL","105","979595","MO",11-JUN-2021,13-FEB-2021,13-MAR-2021,16-MAY-2021
978335,3600,0.0603,109.57,3768,0.1524,"INDIVIDUAL","7","1201393","TX",11-OCT-2021,12-OCT-2021,12-NOV-2021,15-FEB-2021
664660,3000,0.0542,90.48,3099,0.1035,"INDIVIDUAL","7","849849","AZ",11-FEB-2021,11-OCT-2021,11-NOV-2021,11-OCT-2021
510217,4000,0.0676,123.08,4431,0.1276,"INDIVIDUAL","96","658773","PA",10-MAY-2021,13-MAY-2021,13-JUN-2021,15-JUL-2021
578534,4650,0.0788,145.46,5237,0.1593,"INDIVIDUAL","359","743854","CO",10-SEP-2021,13-SEP-2021,13-OCT-2021,15-AUG-2021
795748,1450,0.0849,45.77,1647,0.1605,"INDIVIDUAL","359","1000505","TX",11-JUN-2021,14-JUN-2021,14-JUL-2021,16-MAY-2021
660364,2400,0.0692,74.02,2572,0.2488,"INDIVIDUAL","105","844598","CA",11-JAN-2021,12-JUN-2021,12-JUL-2021,12-JUN-2021
869076,6000,0.0749,186.61,6527,0.0878,"INDIVIDUAL","247","1064045","NV",11-SEP-2021,13-MAR-2021,13-APR-2021,16-APR-2021
537890,7000,0.0714,216.59,7699,0.1166,"INDIVIDUAL","105","694760","MA",10-JUN-2021,12-JUL-2021,12-AUG-2021,14-JUL-2021
441568,8000,0.0774,249.75,8934,0.1547,"INDIVIDUAL","105","535793","TX",09-SEP-2021,12-JAN-2021,12-FEB-2021,12-JAN-2021
784597,7500,0.0599,228.14,7911,0.026,"INDIVIDUAL","96","963690","VA",11-JUN-2021,12-SEP-2021,12-OCT-2021,13-NOV-2021
617174,4200,0.0579,127.38,4394,0.0757,"INDIVIDUAL","96","791294","CA",10-NOV-2021,11-NOV-2021,11-DEC-2021,16-MAY-2021
1004390,5000,0.0662,153.52,5182,0.1124,"INDIVIDUAL","96","1230821","IL",11-OCT-2021,13-MAR-2021,13-APR-2021,13-MAR-2021
594970,6000,0.0676,184.61,6416,0.211,"INDIVIDUAL","96","763931","IL",10-OCT-2021,12-JAN-2021,12-FEB-2021,12-FEB-2021
577896,5500,0.0751,171.11,6138,0.0877,"INDIVIDUAL","247","743084","WV",10-SEP-2021,13-MAR-2021,13-APR-2021,16-MAY-2021
427621,4500,0.0894,142.98,5125,0.096,"INDIVIDUAL","359","451034","IL",09-AUG-2021,12-FEB-2021,12-MAR-2021,12-NOV-2021
607161,7200,0.0579,193.34,6493,0.0398,"INDIVIDUAL","96","778911","CA",10-NOV-2021,11-APR-2021,11-MAY-2021,11-JUN-2021
1050591,4200,0.0662,128.96,4642,0.1984,"INDIVIDUAL","96","1281827","TX",11-DEC-2021,14-DEC-2021,14-JAN-2022,15-FEB-2021
973462,9600,0.0662,294.76,10371,0.2227,"INDIVIDUAL","96","1195465","MO",11-OCT-2021,13-MAY-2021,13-JUN-2021,13-MAY-2021
375143,5000,0.0768,155.96,5614,0.1409,"INDIVIDUAL","96","397032","NJ",09-JAN-2021,12-FEB-2021,12-MAR-2021,14-APR-2021
737546,3000,0.0579,90.99,3117,0.0764,"INDIVIDUAL","96","934744","PA",11-APR-2021,12-FEB-2021,12-MAR-2021,16-FEB-2021
571927,7200,0.0714,222.78,8020,0.1309,"INDIVIDUAL","105","735661","WY",10-AUG-2021,13-SEP-2021,13-OCT-2021,14-MAR-2021
555691,8500,0.0751,264.45,9520,0.1149,"INDIVIDUAL","247","715619","WA",10-JUL-2021,13-AUG-2021,13-SEP-2021,13-AUG-2021
563254,4000,0.0714,123.77,4117,0.0068,"INDIVIDUAL","105","724759","TX",10-AUG-2021,11-MAY-2021,11-JUN-2021,11-APR-2021
613392,3500,0.0925,111.71,4022,0.0913,"INDIVIDUAL","612","786442","VA",10-NOV-2021,13-DEC-2021,13-JAN-2022,13-NOV-2021
582666,5100,0.1075,166.37,5989,0.2288,"INDIVIDUAL","612","748779","NM",10-SEP-2021,13-OCT-2021,13-NOV-2021,13-OCT-2021
604494,9600,0.0999,309.72,10687,0.0764,"INDIVIDUAL","1379","775520","FL",10-OCT-2021,12-MAY-2021,12-JUN-2021,14-OCT-2021
768960,4500,0.1199,149.45,5316,0.0762,"INDIVIDUAL","1479","970363","WV",11-MAY-2021,13-SEP-2021,13-OCT-2021,14-MAY-2021
626313,4000,0.1036,129.75,4674,0.1929,"INDIVIDUAL","1479","802616","AZ",10-DEC-2021,14-FEB-2021,14-MAR-2021,14-MAR-2021
485006,11200,0.1025,362.71,11655,0.2183,"INDIVIDUAL","612","617757","PA",10-MAR-2021,10-SEP-2021,10-OCT-2021,10-SEP-2021
847572,9000,0.1099,294.61,10606,0.1731,"INDIVIDUAL","1625","1059082","LA",11-AUG-2021,14-SEP-2021,14-OCT-2021,15-SEP-2021
736278,4200,0.1074,136.99,4931,0.2493,"INDIVIDUAL","1379","933143","SC",11-APR-2021,14-MAY-2021,14-JUN-2021,14-MAY-2021
478569,3600,0.1148,118.69,4256,0.1123,"INDIVIDUAL","612","607608","OR",10-JAN-2021,12-SEP-2021,12-OCT-2021,16-MAY-2021
776333,5000,0.1149,164.86,5935,0.1775,"INDIVIDUAL","1379","978668","KY",11-JUN-2021,14-JUN-2021,14-JUL-2021,14-JUN-2021
694032,3000,0.1111,98.38,3157,0.1704,"INDIVIDUAL","1479","884903","MD",11-MAR-2021,11-SEP-2021,11-OCT-2021,11-OCT-2021
787055,3250,0.1099,106.39,3443,0.0231,"INDIVIDUAL","1625","990554","OH",11-JUN-2021,12-FEB-2021,12-MAR-2021,13-FEB-2021
431130,3000,0.1126,98.59,3430,0.1721,"INDIVIDUAL","612","511576","WV",09-JUL-2021,11-APR-2021,11-MAY-2021,14-NOV-2021
1004136,5000,0.0991,161.13,5800,0.1865,"INDIVIDUAL","506","1230766","GA",11-OCT-2021,14-NOV-2021,14-DEC-2021,16-MAY-2021
389965,12000,0.1218,399.6,14275,0.0903,"INDIVIDUAL","1379","395889","MA",09-OCT-2021,12-MAR-2021,12-APR-2021,15-MAY-2021
676230,15000,0.1,484.01,17424,0.0539,"INDIVIDUAL","612","864190","AL",11-MAR-2021,14-MAR-2021,14-APR-2021,16-MAY-2021
494363,3300,0.1099,108.03,3712,0.1125,"INDIVIDUAL","1379","632851","NM",10-MAR-2021,11-SEP-2021,11-OCT-2021,11-AUG-2021
561280,5600,0.1075,182.68,6340,0.1896,"INDIVIDUAL","612","722341","VA",10-AUG-2021,12-APR-2021,12-MAY-2021,16-MAY-2021
636721,12000,0.0962,385.07,13631,0.0729,"INDIVIDUAL","1625","815649","MD",10-DEC-2021,13-JAN-2021,13-FEB-2021,16-MAY-2021
1037682,4800,0.1242,160.4,5774,0.0964,"INDIVIDUAL","1379","1267588","OH",11-DEC-2021,14-DEC-2021,14-JAN-2022,16-MAY-2021
611873,3800,0.0999,122.6,4414,0.2402,"INDIVIDUAL","1379","784596","NM",10-NOV-2021,13-DEC-2021,13-JAN-2022,15-DEC-2021
554118,1700,0.1075,55.46,1970,0.1532,"INDIVIDUAL","612","713865","NJ",10-JUL-2021,12-OCT-2021,12-NOV-2021,12-OCT-2021
781298,8500,0.1114,278.85,10038,0.2309,"INDIVIDUAL","612","984137","TX",11-JUN-2021,14-JUN-2021,14-JUL-2021,16-MAY-2021
652490,5525,0.1111,181.17,5577,0.1459,"INDIVIDUAL","1479","834488","TX",11-JAN-2021,11-MAR-2021,11-APR-2021,11-FEB-2021
707827,12000,0.1037,389.3,12843,0.0465,"INDIVIDUAL","1625","900219","NY",11-MAR-2021,12-JAN-2021,12-FEB-2021,14-SEP-2021
372096,2500,0.1158,82.54,2975,0.1451,"INDIVIDUAL","1625","390612","CA",09-JAN-2021,11-APR-2021,11-MAY-2021,11-APR-2021
831545,6000,0.0999,193.58,6699,0.1268,"INDIVIDUAL","506","1040782","TX",11-AUG-2021,13-FEB-2021,13-MAR-2021,13-MAR-2021
485338,9000,0.0988,289.9,10437,0.106,"INDIVIDUAL","506","618278","TX",10-FEB-2021,13-MAR-2021,13-APR-2021,13-MAR-2021
497757,7500,0.1062,244.2,8792,0.1,"INDIVIDUAL","1625","638159","VA",10-APR-2021,13-APR-2021,13-MAY-2021,16-JAN-2021
296489,18000,0.0976,578.79,21247,0.0886,"INDIVIDUAL","612","296474","NJ",08-MAR-2021,11-FEB-2021,11-MAR-2021,16-MAY-2021
456763,3500,0.1253,117.14,3880,0.0691,"INDIVIDUAL","1479","567415","AZ",09-NOV-2021,11-JUL-2021,11-AUG-2021,16-MAY-2021
784904,6000,0.0999,193.58,6366,0.2058,"INDIVIDUAL","506","988157","MI",11-JUN-2021,12-MAR-2021,12-APR-2021,12-MAR-2021
882693,1750,0.1065,57.01,2052,0.2128,"INDIVIDUAL","612","1097939","CA",11-SEP-2021,14-OCT-2021,14-NOV-2021,14-SEP-2021
361726,5375,0.1051,174.73,5988,0.198,"INDIVIDUAL","612","370454","PA",08-NOV-2021,10-APR-2021,10-MAY-2021,10-APR-2021
444554,9500,0.1287,319.52,11012,0.025,"INDIVIDUAL","1283","542120","MA",09-OCT-2021,11-MAY-2021,11-JUN-2021,14-NOV-2021
512859,6000,0.1273,201.4,7251,0.1761,"INDIVIDUAL","1283","662623","CA",10-MAY-2021,13-MAY-2021,13-JUN-2021,13-MAY-2021
536605,4800,0.1472,165.74,5499,0.1165,"INDIVIDUAL","2825","693209","AZ",10-JUN-2021,11-SEP-2021,11-OCT-2021,11-SEP-2021
427684,3600,0.1347,122.13,4242,0.1528,"INDIVIDUAL","1271","505430","PA",09-JUL-2021,11-JUN-2021,11-JUL-2021,11-MAY-2021
735694,7600,0.1523,264.32,9515,0.0961,"INDIVIDUAL","2825","932478","CA",11-MAY-2021,14-JUN-2021,14-JUL-2021,15-FEB-2021
458516,10000,0.1426,343.06,12350,0.0895,"INDIVIDUAL","2825","570794","FL",09-DEC-2021,12-DEC-2021,12-JAN-2022,12-DEC-2021
732431,2500,0.1268,83.86,2829,0.0492,"INDIVIDUAL","1283","928636","PA",11-APR-2021,12-SEP-2021,12-OCT-2021,13-DEC-2021
495428,6400,0.1311,215.97,7438,0.1915,"INDIVIDUAL","1321","634592","WI",10-MAR-2021,11-NOV-2021,11-DEC-2021,15-JUL-2021
737746,5000,0.1417,171.31,6040,0.1406,"INDIVIDUAL","2825","934984","NC",11-APR-2021,13-JUN-2021,13-JUL-2021,13-JUN-2021
970187,5600,0.1596,196.77,6969,0.118,"INDIVIDUAL","2825","1191431","GA",11-SEP-2021,14-JAN-2021,14-FEB-2021,16-MAY-2021
1008709,4000,0.1349,135.73,4871,0.1732,"INDIVIDUAL","1283","1235403","PA",11-NOV-2021,14-JUL-2021,14-AUG-2021,16-MAY-2021
364302,6000,0.1304,202.28,7282,0.1106,"INDIVIDUAL","2825","374794","VA",08-DEC-2021,11-DEC-2021,11-JAN-2022,11-DEC-2021
793800,3600,0.1599,126.55,4556,0.1276,"INDIVIDUAL","2915","998342","GA",11-JUN-2021,14-JUL-2021,14-AUG-2021,16-MAY-2021
572542,4000,0.1595,140.53,4995,0.1586,"INDIVIDUAL","3151","736455","NY",10-AUG-2021,13-JAN-2021,13-FEB-2021,16-MAY-2021
510506,3000,0.1533,104.49,3647,0.11,"INDIVIDUAL","2575","659194","WA",10-MAY-2021,12-APR-2021,12-MAY-2021,12-MAY-2021
366128,4000,0.0932,127.79,4059,0.0676,"INDIVIDUAL","247","377327","CA",08-DEC-2021,09-FEB-2021,09-MAR-2021,09-FEB-2021
549126,4000,0.0676,123.07,4424,0.2209,"INDIVIDUAL","96","707878","AZ",10-JUL-2021,13-APR-2021,13-MAY-2021,13-JUL-2021
