id_achat,id_magasin,fournisseur,id_produit,date_achat,quantité,coût_unitaire,coût_total
105,2,Fourni_C,88,08 Jul 2024,173,13.47,2330.31
106,4,Fourni_B,61,29/04/2025,73,35.91,2621.43
107,10,Fourni_A,15,30 Mar 2025,105,16.16,1696.8
108,4,Fourni_A,25,2025-04-26,22,7.67,168.74
109,7,Fourni_B,65,2024-06-15,143,34.05,4869.15
110,9,Fourni_C,89,04-27-2025,141,43.16,6085.56
111,3,Fourni_D,12,25 November 2024,105,26.68,2801.4
112,9,Fourni_B,68,22 Jun 2024,10,44.88,448.8
113,7,Fourni_D,88,2024-09-27,11,12.28,135.08
114,12,Fourni_C,11,11-04-2024,117,29.61,3464.37
115,8,Fourni_A,43,2024-06-12,167,29.23,4881.41
116,8,Fourni_B,42,2025-04-27,21,10.81,227.01
117,8,Fourni_C,38,20/11/2024,170,14.58,2478.6
118,12,Fourni_D,81,07 Jan 2025,54,33.31,1798.74
119,10,Fourni_A,86,2024-11-09,87,47.31,4115.97
120,5,Fourni_D,81,27/02/2025,192,34.06,6539.52
121,6,Fourni_B,62,31 December 2024,11,52.11,573.21
122,3,,94,19 Feb 2025,99,11.18,1106.82
123,2,Fourni_B,13,08-23-2024,94,23.61,2219.34
124,3,Fourni_B,26,03 July 2024,142,5.17,734.14
125,3,Fourni_D,74,2025-04-06,183,23.09,4225.47
126,2,Fourni_A,27,11/12/2024,153,37.46,5731.38
127,11,Fourni_D,56,05-19-2024,182,6.18,1124.76
128,7,,98,2025-02-24,29,26.4,765.6
129,8,Fourni_C,84,14/09/2024,49,12.13,594.37
130,9,,51,12/09/2024,178,26.58,4731.24
131,8,Fourni_C,10,27 Jan 2025,90,37.75,3397.5
132,7,Fourni_B,32,31 May 2024,81,29.99,2429.19
133,10,Fourni_A,22,03-17-2025,184,31.16,5733.44
134,8,Fourni_A,57,26/11/2024,39,44.28,1726.92
135,5,Fourni_C,73,10/03/2025,23,33.87,779.01
136,12,Fourni_A,91,2025-04-12,174,38.7,6733.8
137,10,Fourni_D,82,2024-08-14,184,10.11,1860.24
138,7,Fourni_A,29,24 September 2024,105,10.73,1126.65
139,2,Fourni_B,51,2025-02-13,175,22.8,3990.0
140,10,Fourni_D,59,2024-11-08,29,35.21,1021.09
141,4,Fourni_B,42,02-19-2025,44,11.37,500.28
142,1,Fourni_A,4,2025-01-18,144,5.34,768.96
143,8,Fourni_C,59,30/08/2024,157,37.41,5873.37
144,2,Fourni_C,93,04/11/2024,184,10.61,1952.24
145,8,Fourni_B,43,03 Feb 2025,29,29.72,861.88
146,4,Fourni_A,57,01/04/2025,21,48.76,1023.96
147,8,Fourni_D,45,30 Oct 2024,66,35.33,2331.78
148,10,Fourni_B,63,03/03/2025,50,36.68,1834.0
149,10,Fourni_D,58,10-23-2024,25,34.34,858.5
150,1,Fourni_B,12,11 January 2025,68,26.92,1830.56
151,10,Fourni_D,27,14 May 2024,31,40.33,1250.23
152,7,,40,2024-10-14,97,26.06,2527.82
153,7,Fourni_A,20,08 June 2024,38,36.54,1388.52
154,1,Fourni_A,40,14 December 2024,126,29.56,3724.56
155,5,Fourni_A,66,02-01-2025,28,43.16,1208.48
156,12,Fourni_A,65,09 Jul 2024,141,35.41,4992.81
157,3,Fourni_B,17,16/12/2024,174,38.52,6702.48
158,9,Fourni_C,72,08-03-2024,130,33.13,4306.9
159,7,Fourni_D,22,19/08/2024,131,29.7,3890.7
160,6,Fourni_B,68,07 Jan 2025,175,47.76,8358.0
161,5,Fourni_B,25,02 November 2024,119,8.78,1044.82
162,10,Fourni_B,21,10-26-2024,142,30.1,4274.2
163,1,Fourni_B,95,21 Oct 2024,11,24.99,274.89
164,5,Fourni_C,6,15 Jun 2024,25,14.16,354.0
165,1,Fourni_C,92,2024-10-06,61,32.14,1960.54
166,6,Fourni_A,66,29 Apr 2024,155,46.4,7192.0
167,7,Fourni_C,90,19 April 2025,25,39.19,979.75
168,5,Fourni_A,86,31 July 2024,72,43.73,3148.56
169,12,Fourni_C,35,11-02-2024,26,36.37,945.62
170,8,Fourni_D,86,09-06-2024,47,48.49,2279.03
171,7,Fourni_D,57,18/08/2024,40,42.5,1700.0
172,11,Fourni_C,2,30 August 2024,81,22.3,1806.3
173,7,Fourni_D,17,21 Aug 2024,21,36.19,759.99
174,4,Fourni_A,6,31/10/2024,181,14.57,2637.17
175,4,Fourni_C,23,29 November 2024,97,38.1,3695.7
176,5,Fourni_B,81,01-31-2025,144,36.24,5218.56
177,6,Fourni_D,3,20 May 2024,169,27.84,4704.96
178,1,Fourni_B,54,07-20-2024,135,14.96,2019.6
179,2,Fourni_D,89,21 October 2024,183,38.07,6966.81
180,6,Fourni_A,79,2025-01-29,157,38.08,5978.56
181,8,Fourni_B,27,06-01-2024,66,40.52,2674.32
182,8,Fourni_A,95,06-03-2024,108,25.07,2707.56
183,9,Fourni_B,93,2024-10-26,160,8.86,1417.6
184,1,,63,24 February 2025,184,41.03,7549.52
185,5,Fourni_C,78,31/08/2024,166,5.86,972.76
186,7,Fourni_C,16,13 Aug 2024,104,20.85,2168.4
187,3,Fourni_C,11,21/02/2025,71,27.4,1945.4
188,3,Fourni_D,8,2024-06-21,193,18.77,3622.61
189,9,Fourni_A,12,07-12-2024,51,26.94,1373.94
190,6,,84,04-20-2025,99,13.17,1303.83
191,11,Fourni_C,38,16/09/2024,156,15.84,2471.04
192,5,Fourni_B,54,14/11/2024,175,,2591.75
193,12,Fourni_C,60,06 Jan 2025,182,43.6,7935.2
194,8,Fourni_A,64,22 September 2024,18,30.86,555.48
195,9,Fourni_B,5,2024-05-30,13,7.75,100.75
196,12,Fourni_B,78,11 Aug 2024,53,5.86,310.58
197,3,Fourni_D,49,03-07-2025,195,5.01,976.95
198,10,Fourni_D,37,19 November 2024,182,10.37,1887.34
199,11,Fourni_D,28,06 September 2024,97,30.79,2986.63
200,12,Fourni_B,18,14/05/2024,25,41.28,1032.0
201,9,Fourni_B,57,25/09/2024,80,44.34,3547.2
202,5,Fourni_A,84,2025-03-09,56,12.4,694.4
203,3,Fourni_A,65,15/04/2025,149,33.81,5037.69
204,6,Fourni_A,64,13/07/2024,14,27.44,384.16
205,7,Fourni_D,84,03/12/2024,113,12.61,1424.93
206,5,,20,2025-02-01,106,32.95,3492.7
207,12,Fourni_A,31,19/07/2024,76,26.69,2028.44
208,9,Fourni_B,70,08 July 2024,36,34.89,1256.04
209,7,Fourni_B,77,2024-11-30,172,13.54,2328.88
210,7,Fourni_B,4,04-26-2025,52,5.35,278.2
211,2,Fourni_B,57,2024-08-14,136,45.2,6147.2
212,8,Fourni_B,90,2025-03-24,79,38.98,3079.42
213,12,Fourni_A,17,25/09/2024,149,35.03,5219.47
214,2,Fourni_D,19,23 February 2025,71,36.74,2608.54
215,2,Fourni_C,84,09/10/2024,13,11.3,146.9
216,2,Fourni_A,78,02-03-2025,174,5.89,1024.86
217,8,Fourni_A,97,19 July 2024,15,27.68,415.2
218,7,Fourni_A,54,11-19-2024,91,15.29,1391.39
219,12,Fourni_D,91,06-18-2024,47,42.12,1979.64
220,5,,48,30 May 2024,42,25.82,1084.44
221,4,Fourni_B,97,14 March 2025,105,30.35,3186.75
222,9,Fourni_B,66,2025-01-07,66,39.11,2581.26
223,5,Fourni_B,37,01/03/2025,131,11.68,1530.08
224,12,Fourni_C,37,2025-01-16,44,9.82,432.08
225,4,Fourni_A,68,22/11/2024,124,45.68,5664.32
226,2,Fourni_C,60,2024-11-15,26,43.49,1130.74
227,12,Fourni_D,74,05/04/2025,172,25.87,4449.64
228,4,Fourni_A,99,2024-12-11,133,37.03,4924.99
229,5,Fourni_C,69,19 August 2024,52,32.65,1697.8
230,11,Fourni_C,18,15 February 2025,169,43.66,7378.54
231,2,Fourni_A,57,04-29-2025,46,46.69,2147.74
232,12,Fourni_C,11,2025-02-14,131,28.84,3778.04
233,12,Fourni_B,72,14 Aug 2024,195,34.85,6795.75
234,8,Fourni_D,59,01 November 2024,114,36.23,4130.22
235,12,Fourni_A,5,04/03/2025,88,8.24,725.12
236,4,Fourni_B,83,03-16-2025,152,22.74,3456.48
237,6,Fourni_C,38,26 May 2024,103,16.11,1659.33
238,8,Fourni_B,22,04-29-2025,56,31.79,1780.24
239,12,Fourni_C,95,15/04/2025,81,23.94,1939.14
240,6,Fourni_C,12,13/01/2025,61,24.98,1523.78
241,6,Fourni_C,54,10-06-2024,179,13.99,2504.21
242,1,Fourni_B,79,20 Sep 2024,132,43.15,5695.8
243,3,,81,19 June 2024,118,,4216.14
244,9,Fourni_B,49,06-21-2024,28,4.84,135.52
245,8,Fourni_C,40,09-19-2024,110,25.69,2825.9
246,9,Fourni_D,59,05 July 2024,157,38.11,5983.27
247,10,Fourni_B,45,2024-05-08,124,38.24,4741.76
248,4,Fourni_A,50,2024-05-18,52,36.17,1880.84
249,6,Fourni_D,2,2025-03-27,115,21.13,2429.95
250,12,Fourni_B,46,11 March 2025,68,43.89,2984.52
251,1,Fourni_A,28,2024-05-06,92,31.56,2903.52
252,8,Fourni_C,2,06-18-2024,128,21.56,2759.68
253,10,Fourni_B,25,30 July 2024,179,7.6,1360.4
254,6,Fourni_D,78,2024-07-21,162,5.35,866.7
255,10,Fourni_C,64,2025-01-27,33,29.81,983.73
256,9,Fourni_B,73,2025-04-04,100,33.08,3308.0
257,6,Fourni_C,30,13/02/2025,15,38.08,571.2
258,2,,16,01/02/2025,71,21.41,1520.11
259,3,Fourni_A,58,18/08/2024,179,37.17,6653.43
260,3,Fourni_D,15,2024-06-05,31,,460.35
261,11,Fourni_D,75,10 Dec 2024,189,36.56,6909.84
262,11,Fourni_B,67,29/10/2024,137,38.78,5312.86
263,11,Fourni_A,9,11/05/2024,92,37.24,3426.08
264,2,Fourni_C,16,19 Apr 2025,83,19.68,1633.44
265,10,Fourni_B,11,28 May 2024,54,30.37,1639.98
266,5,Fourni_B,52,14/06/2024,96,32.69,3138.24
267,10,Fourni_D,90,27 Feb 2025,158,42.05,6643.9
268,6,Fourni_A,9,19 Jan 2025,55,35.23,1937.65
269,12,Fourni_B,95,19 January 2025,28,24.44,684.32
270,7,,71,02 Jan 2025,147,39.61,5822.67
271,1,Fourni_C,51,04-02-2025,200,23.33,4666.0
272,9,Fourni_A,31,01 March 2025,183,23.61,4320.63
273,9,Fourni_C,54,12 August 2024,75,,1152.0
274,3,Fourni_D,23,24 Jan 2025,165,35.64,5880.6
275,5,,98,21 Jan 2025,123,30.96,3808.08
276,8,Fourni_A,68,31 July 2024,137,52.34,7170.58
277,12,Fourni_D,35,2025-02-23,189,36.71,6938.19
278,3,Fourni_B,31,17 Jul 2024,67,25.89,1734.63
279,1,Fourni_C,79,28/01/2025,50,40.24,2012.0
280,11,Fourni_C,70,2025-03-11,182,30.92,5627.44
281,3,Fourni_A,21,08-15-2024,21,32.7,686.7
282,5,Fourni_B,18,30 May 2024,53,45.12,2391.36
283,4,Fourni_A,88,09 Feb 2025,142,14.34,2036.28
284,12,Fourni_C,75,23/12/2024,104,43.41,4514.64
285,9,Fourni_A,91,12-01-2024,157,43.89,6890.73
286,6,Fourni_B,4,10-06-2024,109,4.93,537.37
287,8,Fourni_B,61,02-19-2025,177,33.39,5910.03
288,2,Fourni_C,28,20/05/2024,43,28.72,1234.96
289,11,Fourni_C,75,18 December 2024,134,43.99,5894.66
290,1,,72,2025-02-14,105,34.01,3571.05
291,5,Fourni_D,96,2024-09-02,144,21.47,3091.68
292,7,Fourni_B,5,08-24-2024,151,8.66,1307.66
293,11,Fourni_A,74,2025-01-01,164,26.09,4278.76
294,6,Fourni_D,49,28 July 2024,175,5.62,983.5
295,8,Fourni_A,86,2025-04-13,14,50.4,705.6
296,8,Fourni_B,43,2024-11-05,165,29.1,4801.5
297,12,Fourni_B,22,2024-05-27,131,28.41,3721.71
298,9,Fourni_A,11,2025-01-30,167,30.17,5038.39
299,9,Fourni_C,79,2025-01-11,177,41.53,7350.81
300,1,Fourni_B,75,19/11/2024,147,38.13,5605.11
301,7,Fourni_D,51,13 Jul 2024,115,24.95,2869.25
302,12,Fourni_A,13,05/10/2024,39,20.63,804.57
303,9,,19,15 May 2024,24,34.28,822.72
304,6,Fourni_B,56,12 Aug 2024,196,5.42,1062.32
305,3,Fourni_B,93,05-29-2024,42,10.34,434.28
306,4,Fourni_D,89,13 March 2025,200,44.57,8914.0
307,6,Fourni_B,26,2024-09-27,53,4.69,248.57
308,4,Fourni_C,26,12-07-2024,62,5.28,327.36
309,11,Fourni_A,33,11/04/2025,79,43.08,3403.32
310,6,Fourni_B,83,17 March 2025,83,22.69,1883.27
311,12,Fourni_C,29,05-12-2024,13,10.78,140.14
312,10,Fourni_A,80,19/03/2025,176,27.2,4787.2
313,10,Fourni_B,21,27 September 2024,96,31.56,3029.76
314,10,Fourni_A,57,2024-08-14,54,49.2,2656.8
315,11,Fourni_C,9,2025-02-21,115,34.09,3920.35
316,6,Fourni_A,85,09/10/2024,134,,2414.68
317,5,Fourni_D,70,10 Jul 2024,70,30.25,2117.5
318,8,Fourni_C,9,20 March 2025,181,31.68,5734.08
319,7,Fourni_C,17,08-28-2024,75,36.52,2739.0
320,7,Fourni_D,83,2024-11-10,156,23.45,3658.2
321,10,Fourni_B,12,03-07-2025,92,22.92,2108.64
322,11,Fourni_B,85,12/08/2024,32,14.82,474.24
323,2,Fourni_C,100,04 November 2024,100,4.84,484.0
324,3,Fourni_C,45,27 Sep 2024,124,36.4,4513.6
325,8,Fourni_B,94,16/07/2024,56,11.34,635.04
326,2,Fourni_A,87,24/11/2024,178,28.63,5096.14
327,6,Fourni_C,7,05/12/2024,200,7.01,1402.0
328,10,Fourni_A,96,31 Jan 2025,83,23.3,1933.9
329,5,Fourni_A,51,10 May 2024,38,24.79,942.02
330,8,Fourni_A,60,30/05/2024,125,40.66,5082.5
331,11,Fourni_D,76,14/06/2024,108,39.09,4221.72
332,8,Fourni_D,3,18 Dec 2024,60,28.1,1686.0
333,12,Fourni_C,36,2025-01-09,192,45.5,8736.0
334,10,Fourni_C,30,07-25-2024,83,37.29,3095.07
335,3,Fourni_A,75,04 Jan 2025,181,37.26,6744.06
336,9,Fourni_B,24,28 Oct 2024,99,15.55,1539.45
337,4,Fourni_C,45,2025-01-19,92,33.63,3093.96
338,10,Fourni_C,64,12/05/2024,80,28.35,2268.0
339,8,Fourni_B,46,20 Jun 2024,94,43.51,4089.94
340,11,Fourni_B,37,21 Oct 2024,189,11.86,2241.54
341,8,Fourni_C,48,06-28-2024,63,29.54,1861.02
342,5,Fourni_B,11,06-14-2024,143,30.66,4384.38
343,3,Fourni_A,26,20 May 2024,138,5.38,742.44
344,7,Fourni_A,16,26 Jan 2025,54,18.62,1005.48
345,10,,100,06 Aug 2024,36,5.1,183.6
346,4,Fourni_C,84,2025-04-04,100,11.64,1164.0
347,9,Fourni_C,25,2024-06-11,195,7.37,1437.15
348,4,Fourni_A,39,21/05/2024,100,36.35,3635.0
349,7,Fourni_B,7,12/09/2024,64,6.25,400.0
350,9,Fourni_D,36,20 October 2024,139,44.7,6213.3
351,4,Fourni_D,99,2024-09-29,66,42.44,2801.04
352,7,,43,15 Apr 2025,27,32.11,866.97
353,3,Fourni_B,34,07-15-2024,106,20.05,2125.3
354,6,Fourni_D,35,16/09/2024,92,38.43,3535.56
355,11,Fourni_C,75,2024-09-30,18,36.44,655.92
356,8,Fourni_C,59,12-27-2024,98,41.39,4056.22
357,2,Fourni_D,93,19/02/2025,75,10.52,789.0
358,7,Fourni_D,13,18 Mar 2025,147,24.55,3608.85
359,10,Fourni_D,6,09 Oct 2024,59,15.57,918.63
360,1,Fourni_C,48,04-03-2025,193,29.61,5714.73
361,7,Fourni_C,36,06 Feb 2025,169,47.46,8020.74
362,3,Fourni_B,13,12-06-2024,196,22.34,4378.64
363,12,Fourni_B,10,04-28-2025,173,35.64,6165.72
364,8,Fourni_C,12,2025-03-26,39,,954.72
365,6,Fourni_A,60,08/01/2025,164,37.01,6069.64
366,10,Fourni_A,68,14/06/2024,171,48.57,8305.47
367,1,Fourni_D,2,28 April 2025,37,21.06,779.22
368,2,Fourni_C,61,08-28-2024,87,35.11,3054.57
369,6,Fourni_C,32,2024-05-27,176,31.43,5531.68
370,5,Fourni_C,7,11-28-2024,74,6.23,461.02
371,3,Fourni_D,69,12 February 2025,183,32.83,6007.89
372,5,Fourni_C,7,01 May 2024,70,6.54,457.8
373,3,Fourni_C,41,05 March 2025,49,20.36,997.64
374,1,Fourni_C,34,05/08/2024,27,18.51,499.77
375,8,Fourni_C,8,21 December 2024,90,16.74,1506.6
376,9,Fourni_A,74,09-27-2024,33,23.06,760.98
377,11,Fourni_B,13,06 Jul 2024,65,21.54,1400.1
378,5,Fourni_C,8,25 August 2024,80,16.56,1324.8
379,12,Fourni_A,8,05-17-2024,186,18.27,3398.22
380,12,Fourni_B,23,2024-10-03,11,34.64,381.04
381,3,Fourni_C,53,04-28-2025,35,19.93,697.55
382,6,Fourni_D,66,2024-06-28,198,44.55,8820.9
383,4,Fourni_A,95,23 October 2024,49,26.51,1298.99
384,2,Fourni_D,48,16 May 2024,63,28.01,1764.63
385,10,Fourni_C,21,18 February 2025,83,32.31,2681.73
386,11,Fourni_D,45,25/05/2024,173,33.8,5847.4
387,7,Fourni_C,92,27 January 2025,36,35.24,1268.64
388,4,Fourni_A,19,13/10/2024,13,38.79,504.27
389,10,Fourni_B,74,07/12/2024,143,27.17,3885.31
390,7,Fourni_A,44,28 April 2025,34,35.81,1217.54
391,5,Fourni_C,60,03-21-2025,28,38.45,1076.6
392,4,Fourni_D,14,08/10/2024,80,12.52,1001.6
393,1,Fourni_B,18,27/10/2024,129,45.59,5881.11
394,6,Fourni_D,80,11 January 2025,79,28.51,2252.29
395,11,Fourni_A,85,15/05/2024,64,17.59,1125.76
396,6,Fourni_B,46,2024-09-05,80,41.55,3324.0
397,5,Fourni_B,45,25/08/2024,174,33.27,5788.98
398,12,Fourni_A,53,2025-02-18,22,19.42,427.24
399,5,Fourni_B,11,19 July 2024,79,,2356.57
400,12,Fourni_B,34,2025-01-31,162,18.17,2943.54
401,5,Fourni_D,16,2025-04-05,155,17.9,2774.5
402,1,Fourni_D,8,05/08/2024,62,18.98,1176.76
403,4,Fourni_B,39,26 Apr 2025,166,34.52,5730.32
404,8,Fourni_A,57,16 February 2025,120,43.67,5240.4
405,10,Fourni_B,42,17 Oct 2024,137,11.89,1628.93
406,9,Fourni_D,72,05 June 2024,126,31.15,3924.9
407,7,Fourni_B,9,07-11-2024,73,37.48,2736.04
408,12,Fourni_D,70,25 July 2024,113,35.3,3988.9
409,2,Fourni_B,24,2024-05-09,169,15.49,2617.81
410,7,Fourni_A,12,2024-06-12,102,24.8,2529.6
411,4,Fourni_B,4,2025-03-29,83,5.86,486.38
412,1,Fourni_C,22,05-04-2024,185,28.04,5187.4
413,5,Fourni_D,13,16 Aug 2024,195,21.44,4180.8
414,10,Fourni_A,96,11 June 2024,42,23.17,973.14
415,7,Fourni_C,92,19 October 2024,132,35.54,4691.28
416,1,Fourni_C,64,24 Mar 2025,46,,1437.04
417,11,Fourni_A,87,05 June 2024,104,28.79,2994.16
418,6,Fourni_A,5,01-02-2025,97,7.33,711.01
419,6,,84,01-26-2025,44,12.51,550.44
420,4,Fourni_B,93,07 Apr 2025,11,9.74,107.14
421,10,Fourni_A,22,05 Jan 2025,135,31.5,4252.5
422,9,,50,29/07/2024,98,36.11,3538.78
423,7,Fourni_A,10,29 Apr 2024,80,38.43,3074.4
424,5,Fourni_B,3,06-02-2024,175,28.0,4900.0
425,12,Fourni_D,24,04-03-2025,12,15.17,182.04
426,2,Fourni_A,89,16 January 2025,14,45.8,641.2
427,11,Fourni_B,66,01-30-2025,55,46.9,2579.5
428,8,Fourni_B,70,23 Sep 2024,113,34.04,3846.52
429,1,Fourni_D,61,13/11/2024,42,34.54,1450.68
430,10,Fourni_D,72,14 Jun 2024,180,32.69,5884.2
431,11,Fourni_A,94,07-16-2024,169,12.46,2105.74
432,12,Fourni_D,44,07/08/2024,117,32.9,3849.3
433,11,Fourni_A,52,2024-07-24,72,39.14,2818.08
434,1,Fourni_C,3,06-29-2024,60,30.1,1806.0
435,5,Fourni_B,52,2024-12-13,177,34.08,6032.16
436,1,Fourni_D,75,06 May 2024,84,43.37,3643.08
437,12,Fourni_D,49,2024-07-21,42,5.67,238.14
438,1,Fourni_D,28,20 September 2024,17,31.26,531.42
439,6,Fourni_C,36,05 Jun 2024,71,45.03,3197.13
440,12,Fourni_C,92,15 Aug 2024,151,35.06,5294.06
441,11,Fourni_B,77,2024-12-21,18,13.33,239.94
442,2,Fourni_A,23,26 March 2025,170,37.38,6354.6
443,4,Fourni_B,13,02/02/2025,119,21.91,2607.29
444,10,Fourni_C,92,2025-03-07,200,35.83,7166.0
445,1,Fourni_C,42,25 August 2024,164,11.29,1851.56
446,5,Fourni_C,22,09-30-2024,12,31.61,379.32
447,6,Fourni_B,95,10 February 2025,45,24.63,1108.35
448,10,Fourni_B,8,08/06/2024,53,17.02,902.06
449,11,,50,27 September 2024,161,40.02,6443.22
450,4,Fourni_B,53,08 Feb 2025,78,22.32,1740.96
451,5,Fourni_A,84,13/10/2024,194,12.93,2508.42
452,12,Fourni_D,6,03 Mar 2025,108,16.68,1801.44
453,8,Fourni_B,68,22 May 2024,163,47.39,7724.57
