id_stock,id_magasin,id_produit,quantité,date_réapprovisionnement
60,2,15,178.0,23/05/2024
61,2,31,116.0,02-04-2025
62,2,10,56.0,13 Aug 2024
63,2,44,198.0,10-16-2024
64,2,53,0.0,22 July 2024
65,2,62,47.0,2024-07-12
66,2,26,180.0,21/12/2024
67,2,77,176.0,07-21-2024
68,2,86,45.0,
69,2,65,123.0,04 January 2025
70,2,71,65.0,2024-07-20
71,2,60,160.0,10-23-2024
72,2,63,188.0,
73,2,82,39.0,01-21-2025
74,2,64,109.0,03-29-2025
75,2,25,20.0,11 September 2024
76,2,98,47.0,02 August 2024
77,2,81,113.0,26/12/2024
78,2,2,137.0,2024-09-15
79,2,56,161.0,
80,2,3,17.0,06 September 2024
81,2,23,93.0,2025-03-20
82,2,40,,2024-05-26
83,2,43,2.0,20 April 2025
84,2,49,49.0,2024-05-04
85,2,67,101.0,08-16-2024
86,2,7,185.0,13/09/2024
87,2,27,9.0,2024-07-22
88,2,32,183.0,03 August 2024
89,2,21,186.0,06-08-2024
90,2,17,71.0,10 June 2024
91,2,4,86.0,25 April 2025
92,2,47,160.0,24 Nov 2024
93,2,13,133.0,22/10/2024
94,2,38,120.0,11-17-2024
95,2,14,158.0,10 Mar 2025
96,2,22,135.0,29 Mar 2025
97,2,46,85.0,18/12/2024
98,2,91,20.0,11/01/2025
99,2,95,91.0,17 Sep 2024
100,2,88,165.0,03-25-2025
101,3,21,142.0,
102,3,11,37.0,2024-05-16
103,3,35,38.0,06/04/2025
104,3,40,33.0,29 Jul 2024
105,3,74,157.0,02/08/2024
106,3,26,187.0,11 March 2025
107,3,71,196.0,11/08/2024
108,3,76,181.0,31/08/2024
109,3,13,75.0,2025-01-25
110,3,56,182.0,06-10-2024
111,3,33,79.0,07 Aug 2024
112,3,4,72.0,18/09/2024
113,3,37,98.0,2024-06-16
114,3,1,20.0,2025-04-11
115,3,6,91.0,15 May 2024
116,3,23,20.0,14 November 2024
117,3,99,193.0,08-31-2024
118,3,8,120.0,19/05/2024
119,3,22,63.0,30 Jun 2024
120,3,3,115.0,2025-01-12
121,3,100,190.0,27 May 2024
122,3,63,160.0,30/09/2024
123,3,7,51.0,10-04-2024
124,3,88,130.0,04-02-2025
125,3,31,,22/09/2024
126,3,52,85.0,26/11/2024
127,3,86,40.0,10-17-2024
128,3,55,,01/09/2024
129,3,9,103.0,21 Apr 2025
130,3,78,79.0,
131,3,65,128.0,2024-05-14
132,3,73,16.0,01-20-2025
133,3,82,97.0,2024-05-15
134,3,32,59.0,2024-08-02
135,3,89,47.0,2024-08-11
136,3,45,,21 Mar 2025
137,3,38,150.0,09-22-2024
138,3,30,166.0,23/01/2025
139,3,66,65.0,14 February 2025
140,3,67,123.0,08 February 2025
141,3,69,95.0,2025-03-27
142,3,47,199.0,2025-01-26
143,3,34,124.0,
144,3,58,7.0,08-16-2024
145,3,51,86.0,09 Dec 2024
146,3,12,146.0,08 April 2025
147,3,53,110.0,14 July 2024
148,3,97,86.0,16 August 2024
149,3,41,154.0,12 Jun 2024
150,3,96,18.0,
151,4,4,190.0,02-28-2025
152,4,62,111.0,31 Oct 2024
153,4,2,93.0,01 August 2024
154,4,47,192.0,01/05/2024
155,4,11,52.0,10/05/2024
156,4,61,43.0,04/08/2024
157,4,68,171.0,04-02-2025
158,4,94,132.0,2025-04-18
159,4,57,177.0,25/01/2025
160,4,83,119.0,
161,4,41,168.0,2024-10-28
162,4,51,37.0,05-07-2024
163,4,93,97.0,
164,4,54,87.0,27 May 2024
165,4,71,,05-11-2024
166,4,28,32.0,04 Jul 2024
167,4,24,33.0,02 April 2025
168,4,10,21.0,10 December 2024
169,4,26,93.0,23 August 2024
170,4,15,91.0,15 September 2024
171,4,13,46.0,08 April 2025
172,4,5,90.0,12/11/2024
173,4,39,133.0,19 August 2024
174,4,77,36.0,03-19-2025
175,4,20,149.0,25 February 2025
176,4,42,129.0,21/03/2025
177,4,21,125.0,11-20-2024
178,4,30,51.0,22/08/2024
179,4,95,141.0,2024-09-24
180,4,3,123.0,26/03/2025
181,4,84,29.0,08/04/2025
182,4,72,87.0,12/10/2024
183,4,73,179.0,27/01/2025
184,4,48,198.0,19 Dec 2024
185,4,82,51.0,05 June 2024
186,4,69,152.0,17 December 2024
187,4,53,34.0,23/02/2025
188,4,60,65.0,05/05/2024
189,4,27,176.0,06 March 2025
190,4,6,121.0,20 November 2024
191,4,89,195.0,25/10/2024
192,4,98,26.0,11-24-2024
193,4,49,54.0,19 July 2024
194,4,88,124.0,06-27-2024
195,4,34,176.0,2024-10-12
196,4,14,101.0,05 November 2024
197,4,74,57.0,16 Jan 2025
198,4,50,126.0,07 February 2025
199,4,80,198.0,10 September 2024
200,4,43,99.0,28 May 2024
201,5,97,16.0,14/10/2024
202,5,51,140.0,29 Sep 2024
203,5,98,120.0,11/02/2025
204,5,40,7.0,27/05/2024
205,5,100,65.0,07 July 2024
206,5,46,122.0,11-22-2024
207,5,30,65.0,2024-07-15
208,5,76,181.0,05-09-2024
209,5,6,193.0,04-29-2025
210,5,12,3.0,2024-05-04
211,5,8,95.0,05 May 2024
212,5,77,5.0,12-29-2024
213,5,66,131.0,2024-08-14
214,5,48,7.0,24 July 2024
215,5,47,149.0,11 July 2024
216,5,41,,07-28-2024
217,5,22,56.0,03-01-2025
218,5,39,87.0,10/02/2025
219,5,27,130.0,2024-07-11
220,5,28,26.0,17 September 2024
221,5,4,140.0,21 Dec 2024
222,5,92,72.0,11 January 2025
223,5,57,21.0,24 Jul 2024
224,5,85,88.0,01 Dec 2024
225,5,23,32.0,17 December 2024
226,5,58,24.0,13 May 2024
227,5,19,55.0,11 May 2024
228,5,70,11.0,13 Oct 2024
229,5,3,190.0,23 Jun 2024
230,5,52,30.0,11 Nov 2024
231,5,73,64.0,25 January 2025
232,5,10,95.0,2024-08-20
233,5,26,52.0,2025-03-31
234,5,96,75.0,10 Feb 2025
235,5,13,171.0,24 September 2024
236,5,43,74.0,
237,5,74,194.0,12-24-2024
238,5,49,23.0,23 Jan 2025
239,5,16,83.0,09-01-2024
240,5,1,149.0,
241,5,88,42.0,05-25-2024
242,5,86,102.0,02/01/2025
243,5,24,112.0,2025-03-15
244,5,71,89.0,18 August 2024
245,5,69,193.0,10/03/2025
246,5,34,52.0,27/02/2025
247,5,95,96.0,11-09-2024
248,5,50,180.0,2024-07-16
249,5,37,157.0,
250,5,45,77.0,27 May 2024
251,6,27,,17/04/2025
252,6,25,152.0,2025-01-16
253,6,62,103.0,12/08/2024
254,6,17,173.0,13 January 2025
255,6,5,111.0,2025-01-10
256,6,39,,06 November 2024
257,6,45,38.0,01/02/2025
258,6,82,17.0,31 Oct 2024
259,6,93,23.0,25 December 2024
260,6,95,178.0,2024-09-15
261,6,36,41.0,2024-10-10
262,6,50,28.0,06-06-2024
263,6,53,105.0,28 June 2024
264,6,65,108.0,06-27-2024
265,6,12,50.0,08 April 2025
266,6,69,2.0,2025-01-21
267,6,33,12.0,
268,6,58,102.0,11-06-2024
269,6,26,29.0,31/10/2024
270,6,34,92.0,28 September 2024
271,6,98,36.0,03/04/2025
272,6,2,,2024-11-27
273,6,10,152.0,2025-01-05
274,6,20,70.0,02-07-2025
275,6,89,103.0,11 Dec 2024
276,6,19,93.0,25 Apr 2025
277,6,96,56.0,27 Feb 2025
278,6,85,12.0,21/08/2024
279,6,22,98.0,2024-12-12
280,6,52,178.0,2024-06-12
281,6,57,92.0,30 Jan 2025
282,6,32,192.0,02-11-2025
283,6,28,134.0,03-15-2025
284,6,11,125.0,07 June 2024
285,6,90,84.0,02-13-2025
286,6,64,169.0,08 Oct 2024
287,6,30,171.0,06 May 2024
288,6,4,195.0,08-10-2024
289,6,38,6.0,2024-09-08
290,6,14,111.0,06/05/2024
291,6,16,48.0,28/12/2024
292,6,86,51.0,23/06/2024
293,6,6,39.0,07-02-2024
294,6,71,125.0,2024-11-01
295,6,78,36.0,2025-01-08
296,6,79,41.0,04-10-2025
297,6,77,127.0,
298,6,49,172.0,06/11/2024
299,6,83,158.0,
300,6,40,188.0,2024-09-05
301,7,58,3.0,09-27-2024
302,7,17,162.0,16 Oct 2024
303,7,73,60.0,22/09/2024
304,7,55,171.0,03-27-2025
305,7,23,86.0,2024-11-13
306,7,40,152.0,10/05/2024
307,7,85,132.0,2024-10-25
308,7,66,74.0,16/04/2025
309,7,65,64.0,31/07/2024
310,7,31,52.0,17 Mar 2025
311,7,6,16.0,
312,7,30,102.0,2025-01-24
313,7,67,92.0,2024-06-13
314,7,91,96.0,13/01/2025
315,7,36,99.0,07-25-2024
316,7,97,,13 May 2024
317,7,22,26.0,12-15-2024
318,7,57,188.0,18 June 2024
319,7,61,191.0,16/09/2024
320,7,20,156.0,27/11/2024
321,7,99,10.0,
322,7,53,191.0,25 Jul 2024
323,7,24,96.0,02-09-2025
324,7,62,135.0,12-01-2024
325,7,37,,07 Jul 2024
326,7,8,34.0,2024-12-24
327,7,86,170.0,16 August 2024
328,7,27,62.0,30 Aug 2024
329,7,10,179.0,01 Apr 2025
330,7,59,144.0,05/12/2024
331,7,81,28.0,
332,7,34,170.0,17/08/2024
333,7,56,50.0,13/09/2024
334,7,49,95.0,12-09-2024
335,7,32,,2024-06-27
336,7,3,72.0,22 February 2025
337,7,92,90.0,
338,7,77,32.0,2024-11-24
339,7,78,96.0,12 March 2025
340,7,42,70.0,2024-08-25
341,7,84,10.0,17 June 2024
342,7,43,44.0,2024-07-31
343,7,48,1.0,2024-05-07
344,7,29,60.0,10-02-2024
345,7,21,42.0,01-23-2025
346,7,90,54.0,30 June 2024
347,7,15,118.0,2024-12-08
348,7,44,160.0,28 December 2024
349,7,28,90.0,31 December 2024
350,7,18,70.0,2025-03-27
351,8,4,88.0,
352,8,8,4.0,25 Feb 2025
353,8,36,65.0,01 Jan 2025
354,8,22,138.0,2025-02-16
355,8,55,198.0,14 February 2025
356,8,84,133.0,13 Sep 2024
357,8,54,54.0,08 May 2024
358,8,53,140.0,08 Apr 2025
359,8,98,47.0,2025-02-02
360,8,100,11.0,06 February 2025
361,8,5,81.0,01-12-2025
362,8,93,36.0,31 May 2024
363,8,19,191.0,
364,8,65,17.0,15 Apr 2025
365,8,49,111.0,10-25-2024
366,8,92,75.0,28 August 2024
367,8,72,128.0,28 Nov 2024
368,8,94,81.0,03-11-2025
369,8,47,7.0,2024-11-19
370,8,99,137.0,21 Apr 2025
371,8,3,74.0,10-24-2024
372,8,15,87.0,04/01/2025
373,8,97,80.0,24/06/2024
374,8,11,101.0,12 May 2024
375,8,9,186.0,
376,8,12,125.0,08/05/2024
377,8,74,14.0,19 November 2024
378,8,25,66.0,09-29-2024
379,8,34,117.0,10 Jun 2024
380,8,30,60.0,30/09/2024
381,8,90,22.0,09/07/2024
382,8,76,20.0,23 November 2024
383,8,32,27.0,25 Sep 2024
384,8,71,11.0,05-30-2024
385,8,58,183.0,13/02/2025
386,8,13,173.0,2025-02-17
387,8,41,95.0,05-30-2024
388,8,64,64.0,03-18-2025
389,8,88,22.0,06-17-2024
390,8,23,123.0,2025-03-16
391,8,66,134.0,06 October 2024
392,8,96,121.0,2024-07-11
393,8,95,22.0,07-31-2024
394,8,52,13.0,17 Oct 2024
395,8,59,18.0,11-26-2024
396,8,82,,
397,8,77,117.0,
398,8,42,151.0,2025-02-24
399,8,7,163.0,2024-12-03
400,8,39,57.0,05/04/2025
401,9,21,51.0,11-19-2024
402,9,85,36.0,2024-10-19
403,9,3,83.0,08-05-2024
404,9,17,12.0,16 December 2024
405,9,45,59.0,05 November 2024
406,9,65,,2025-03-04
407,9,20,10.0,2025-03-25
408,9,74,80.0,12/10/2024
409,9,22,48.0,2024-11-21
410,9,69,26.0,15 March 2025
411,9,7,87.0,2024-08-13
412,9,95,20.0,03-06-2025
413,9,44,149.0,2025-03-14
414,9,52,167.0,20/01/2025
415,9,50,24.0,15/02/2025
416,9,94,63.0,05 September 2024
417,9,91,148.0,10/11/2024
418,9,19,158.0,2024-11-02
419,9,63,197.0,11-24-2024
420,9,47,182.0,12/03/2025
421,9,25,193.0,02 April 2025
422,9,36,194.0,2024-12-30
423,9,90,90.0,02 December 2024
424,9,41,67.0,2024-12-08
425,9,88,6.0,09-19-2024
426,9,84,115.0,
427,9,4,171.0,20/08/2024
428,9,62,19.0,2024-07-06
429,9,2,80.0,02-03-2025
430,9,32,99.0,2024-07-18
431,9,5,150.0,28/11/2024
432,9,1,198.0,04-17-2025
433,9,43,54.0,01/05/2024
434,9,15,71.0,03 August 2024
435,9,67,123.0,06-25-2024
436,9,37,0.0,12-01-2024
437,9,27,119.0,27/05/2024
438,9,34,145.0,14 September 2024
439,9,72,149.0,30 Jul 2024
440,9,75,141.0,08 April 2025
441,9,31,41.0,12/06/2024
442,9,24,,17/10/2024
443,9,23,180.0,04 Nov 2024
444,9,29,28.0,24 Nov 2024
445,9,81,4.0,21 Mar 2025
446,9,80,93.0,2024-12-19
447,9,12,62.0,2024-12-28
448,9,33,78.0,01-28-2025
449,9,92,104.0,27 Dec 2024
450,9,79,196.0,2025-03-14
451,10,32,80.0,08-18-2024
452,10,4,183.0,2024-10-07
453,10,73,196.0,26/06/2024
454,10,96,76.0,16 May 2024
455,10,13,123.0,2024-12-10
456,10,9,,2024-05-22
457,10,7,38.0,01 February 2025
458,10,84,33.0,29 Sep 2024
459,10,24,77.0,06 Sep 2024
460,10,89,168.0,28 Mar 2025
461,10,34,68.0,17 November 2024
462,10,27,70.0,
463,10,61,122.0,2024-10-20
464,10,97,190.0,2024-06-09
465,10,69,176.0,
466,10,66,7.0,29/04/2024
467,10,77,126.0,14 April 2025
468,10,28,133.0,03-07-2025
469,10,5,184.0,29 July 2024
470,10,98,,06 Sep 2024
471,10,36,111.0,05/01/2025
472,10,65,78.0,
473,10,78,144.0,09/01/2025
474,10,33,86.0,14 Aug 2024
475,10,22,,2024-10-14
476,10,62,170.0,13/05/2024
477,10,15,189.0,10/06/2024
478,10,74,95.0,02 May 2024
479,10,70,115.0,07 May 2024
480,10,30,124.0,05 Jan 2025
481,10,76,53.0,28 Mar 2025
482,10,50,30.0,01/07/2024
483,10,49,13.0,05 Oct 2024
484,10,17,185.0,12 Apr 2025
485,10,29,,12-20-2024
486,10,72,140.0,
487,10,19,140.0,03-09-2025
488,10,39,52.0,02-19-2025
489,10,43,40.0,2024-05-17
490,10,47,171.0,25/01/2025
491,10,55,58.0,02 March 2025
492,10,40,138.0,22/09/2024
493,10,6,185.0,07 July 2024
494,10,20,198.0,17 Jun 2024
495,10,58,10.0,2024-07-12
496,10,91,97.0,01 Apr 2025
497,10,93,35.0,2025-01-06
498,10,57,38.0,2025-01-08
499,10,31,41.0,24 Aug 2024
500,10,18,,03 October 2024
501,11,28,11.0,27 January 2025
502,11,63,112.0,2024-10-04
503,11,98,131.0,27 Mar 2025
504,11,43,37.0,
505,11,100,136.0,08/09/2024
506,11,75,94.0,2024-06-10
507,11,83,193.0,2024-06-19
508,11,70,26.0,14 Mar 2025
509,11,17,45.0,04 February 2025
510,11,52,181.0,29/03/2025
511,11,66,127.0,30 January 2025
512,11,93,161.0,2024-08-24
513,11,36,45.0,09 Apr 2025
514,11,34,23.0,04-07-2025
515,11,33,133.0,18 May 2024
516,11,5,185.0,25 Jan 2025
517,11,51,116.0,27 October 2024
518,11,85,194.0,2024-10-31
519,11,73,33.0,2024-12-31
520,11,38,55.0,29 December 2024
521,11,13,192.0,10 Mar 2025
522,11,19,191.0,17 May 2024
523,11,18,96.0,27 Jun 2024
524,11,60,62.0,09 August 2024
525,11,89,67.0,13 January 2025
526,11,74,60.0,08 Apr 2025
527,11,12,39.0,
528,11,20,98.0,2024-10-17
529,11,8,78.0,2024-10-06
530,11,57,73.0,12/11/2024
531,11,14,122.0,2025-03-21
532,11,27,12.0,2025-01-08
533,11,69,95.0,25 September 2024
534,11,91,180.0,02-10-2025
535,11,95,16.0,02 December 2024
536,11,61,107.0,29/05/2024
537,11,54,18.0,09 Jun 2024
538,11,16,36.0,05-07-2024
539,11,2,185.0,11 Apr 2025
540,11,3,160.0,25 Sep 2024
541,11,32,173.0,07/10/2024
542,11,9,49.0,03 Oct 2024
543,11,71,197.0,12-08-2024
544,11,97,101.0,30 May 2024
545,11,15,72.0,2024-10-18
546,11,81,83.0,2024-10-24
547,11,4,198.0,31 Jan 2025
548,11,64,0.0,26/11/2024
549,11,44,163.0,11/08/2024
550,11,25,156.0,01-14-2025
551,12,57,59.0,
552,12,82,106.0,24 Aug 2024
553,12,35,78.0,09/12/2024
554,12,99,10.0,05-26-2024
555,12,100,68.0,08-21-2024
556,12,47,24.0,29 July 2024
557,12,80,3.0,17 Oct 2024
558,12,37,73.0,01-26-2025
559,12,81,134.0,2024-11-08
560,12,45,78.0,01-04-2025
561,12,21,165.0,02-23-2025
562,12,98,101.0,01-06-2025
563,12,11,80.0,
564,12,88,13.0,08 June 2024
565,12,34,69.0,03/01/2025
566,12,39,189.0,
567,12,58,25.0,26 Nov 2024
568,12,96,176.0,09/08/2024
569,12,66,34.0,16 June 2024
570,12,83,198.0,10/08/2024
571,12,18,21.0,2025-02-24
572,12,30,123.0,24/12/2024
573,12,2,38.0,02/04/2025
574,12,95,191.0,05-04-2024
575,12,13,192.0,11-11-2024
576,12,3,125.0,2024-11-20
577,12,50,151.0,06-01-2024
578,12,10,132.0,31 Dec 2024
579,12,41,132.0,06-23-2024
580,12,92,27.0,04-28-2025
581,12,25,77.0,
582,12,6,39.0,13/01/2025
583,12,20,34.0,10-02-2024
584,12,40,99.0,06-19-2024
585,12,72,10.0,19 Mar 2025
586,12,8,130.0,23 Feb 2025
587,12,19,144.0,15/12/2024
588,12,16,,07 December 2024
589,12,71,36.0,10-31-2024
590,12,24,165.0,08-12-2024
591,12,38,156.0,03 Sep 2024
592,12,31,11.0,21 Oct 2024
593,12,33,108.0,08 Nov 2024
594,12,42,115.0,02-19-2025
595,12,52,193.0,11 April 2025
596,12,43,128.0,07-02-2024
597,12,94,46.0,05-13-2024
598,12,4,140.0,05/06/2024
599,12,63,188.0,31 Dec 2024
600,12,28,99.0,11/08/2024
